id            ,speaker_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,listener_utterance                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,empathy
sub_7_conv_8  ,"Yeah, me too. It's like, I don't know. How I'm going to look at his eyes again, knowing that he was eating his snot the other day. I think I want to recover from this."                                                                                                                                                                                                                                                                                                                                                                                                                             ,"Okay, you ruined my day, too. I think I need to recover from that gross scenario."                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,      3
sub_9_conv_1  ,So here I am just in front of the movie theater but actually I want to go inside and watch a movie but since I moved here I don't have the chance to go because it's just way too expensive. I don't have the money to spend on that. It really miss going to the movies. Back in my country I used to go at least twice a week and I really enjoy it but here I don't have the chance.                                                                                                                                                                                                               ,Oh that's bad. Did you try to find some cheap options in here?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_9_conv_1  ,"I mean I can watch movies at home but the experience of the movie theater, eating popcorn and so on, I don't have the chance anymore. Do you know a place to do all that?"                                                                                                                                                                                                                                                                                                                                                                                                                           ,I'm actually not a big fan of watching movies in the theaters but I think you can find some cheap options if you search online.                                                                                                                                                                                                                                                                                                                                                                                                                        ,      1
sub_9_conv_2  ,"You know how much I love driving and going hiking into the mountains Just last weekend I went to my favorite place but for the first time ever while I was driving, It was at night, I saw a bear on the road. I was so scared. I never seen a bear before, like I mean maybe at the zoo but not so close to me. I don't know, I got really scared, I had no idea something like that could happen to me."                                                                                                                                                                                           ,"Wow, that's a kind of cool experience for me but like, do you feel scary?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2
sub_9_conv_2  ,yeah even though I was inside the car because that part of the like the road like I had to have to drive it slowly I could see the bear for a few seconds like very close close to me and the bear looked like angry like it wanted to attack me or something so I got really scared and I just speed up                                                                                                                                                                                                                                                                                              ,I think you shouldn't be panic on that kind of situations because you're gonna do more accidents because of that                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      2
sub_9_conv_2  ,"Yeah right, just because I tried to escape from the bear maybe I have an accident I'll be careful but I don't know I was shocked, I didn't know what to do"                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"Yeah, even I haven't had that kind of experience in here. But for me, hearing that kind of story sounds cool but scary at the same time."                                                                                                                                                                                                                                                                                                                                                                                                             ,      2
sub_9_conv_3  ,"As you know I love training, I go to gym often but since the past month I've been feeling pain here on my chest. I went to see a doctor after I rested for a bit but I didn't get any better so I went to see a doctor. and she recommended me to get an MRI. I just went to the hospital yesterday to get the MRI. I'll get the results in a week but I'm very scared because what if there is something wrong, what if there is something bad happening to me."                                                                                                                                    ,Oh really? So are you okay right now? Do you feel any pain?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2
sub_9_conv_3  ,"Not much pain. That's why I thought it wasn't really just my muscle or something. But I mean, I'm just for now, I'm just uncertain, the uncertainty of not knowing what's going to happen to me. If it's something just simple, by taking a medicine, I will get better or something more serious. That's my problem."                                                                                                                                                                                                                                                                               ,Did you use more weights? Is that the problem? I think you should be careful next time.                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,      2
sub_9_conv_3  ,"Yeah, I will definitely be more careful but right now I don't know the reason why or what caused this pain. So, as soon as I know, hopefully it's not something too bad. I will try to avoid this situation."                                                                                                                                                                                                                                                                                                                                                                                        ,I think you should take a good rest.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      2
sub_9_conv_4  ,"So, as you know, I've been trying to find a new apartment. I went to see some options around here, like good price and good location. I went there, they told me that it was perfectly fine for me to rent this place. The only communication I had with them was by phone. But as soon as they saw me that I'm a foreigner, they said, oh, no, I'm sorry. We thought you were Japanese but just because you are a foreigner you cannot rent this place and I just didn't say anything to them, I just left, I didn't know what to do."                                                              ,"Man that is so unfair, I think you should talk to the agency again, what is the point of like they cannot rent a place for foreigners."                                                                                                                                                                                                                                                                                                                                                                                                               ,      3
sub_9_conv_4  ,"Yes, it's not fair for us. It's too difficult to to find a place. The agency should help me with these kind of things. They saw my documents, they saw my name. It's obvious I'm a foreigner but I don't know they made me lose my time."                                                                                                                                                                                                                                                                                                                                                            ,"Yeah, this is not so right. I think you should go to the place and ask the reason why they cannot do that. Or I think you should go to another agent. Because I always feel like, since you are working here and your documents are legit, what is the problem with that? I think you should talk to them. And if it doesn't work, even I can help to find another agency."                                                                                                                                                                           ,      3
sub_9_conv_4  ,"Yes, definitely I will talk to them and mention from the beginning that they should talk with the owner if it's okay to rent to foreigners because it's just like I don't want to go through this again and lose my time and thank you if I cannot find anything by myself in this agency I will definitely ask you for help."                                                                                                                                                                                                                                                                       ,"Yeah for sure man, I'm here to help you anytime, no problem."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      3
sub_9_conv_5  ,We are just about to watch this match and I cannot wait. I've been waiting for this like 10 years for my team to reach the finals and finally it's happening.                                                                                                                                                                                                                                                                                                                                                                                                                                         ,What is that game about? Can you tell me more about that?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      1
sub_9_conv_5  ,"It's a soccer game, the finals in the National League. So I'm very excited because my team has a chance to win the cup this year."                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Oh, it's soccer. I'm not a big fan of soccer, but I have seen some World Cup matches. Sounds kind of exciting. So I would like to know more about soccer."                                                                                                                                                                                                                                                                                                                                                                                            ,      1
sub_9_conv_5  ,Ah soccer? You just kick the ball with your feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"Okay, I know that part but I don't know much about the rules and everything. So you can teach me sometimes."                                                                                                                                                                                                                                                                                                                                                                                                                                          ,      1
sub_9_conv_5  ,"Yeah sure, maybe you become a fan of football too. It's fun."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"Yeah, let's see how it goes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_9_conv_6  ,"Maybe as you have noticed, the last few weeks I've been bringing my own food from home because I'm trying to lose some weight and diet went well for probably, maybe one week because Just on the weekend I ate by myself directly from the bottle like one kilogram of ice cream."                                                                                                                                                                                                                                                                                                                  ,Wow one kilogram of ice cream that sounds a lot. It's like it's because of summer?                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_9_conv_6  ,"I don't know, in part yes, it's been hot these days, but I just, I cannot support just eating healthy food, it's not, it doesn't taste good, so I wanted to eat something good, and I ended up eating just chocolate ice cream."                                                                                                                                                                                                                                                                                                                                                                     ,"Yeah, makes sense, like, if you don't like the usual food, like, you should try something new."                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_9_conv_6  ,"Eh, I guess I cannot do anything about it. Diet can wait."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Yeah, of course, like, you know, you can do dieting anytime, but like, you have to eat everyday, right?"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      1
sub_9_conv_6  ,and I will continue eating ice cream                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,I think like maybe for now it's okay but like it's better to control that as well                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      1
sub_9_conv_7  ,"Seeing like a lion here at the zoo. I mean it's the second time I see a lion, this time in a zoo. But the first time I saw one was when I was a child. I went to the circus once. And back then, circus were able to have wild animals. and I got to see this lion making tricks like jumping from one place to another these kind of things it was it was awesome"                                                                                                                                                                                                                                  ,oh yeah like that sounds pretty cool but like I'd like to know like where are you from                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,      1
sub_9_conv_7  ,I'm just from here but 20 years ago circus could have animals and now it's forbidden so you can see these kind of animals only at the zoo now                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,okay I see but like I'm kind of new to here so I thought like seeing animal is not kind of popular here so that's why you haven't seen this kind of animal before right                                                                                                                                                                                                                                                                                                                                                                                ,      1
sub_9_conv_7  ,yeah definitely it's more difficult to see these type of animals around here i don't know maybe it's different in other countries                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,yeah for me it's not really exciting because like i have seen many animals in my country so yeah                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,      1
sub_9_conv_7  ,nice maybe I should visit your country sounds exciting                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,yeah you should because like you can do Safari and you can see many different types of animals there so you should visit sometimes                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_9_conv_8  ,"As you know, I just sent my daughter to college, so she had to move to another state to go there. I thought she attended school for the last six months, but she's been lying to me. She called me from the school just last week and turns out that she didn't go to her lessons for the last four months. I don't know what's going on with her and she doesn't answer my calls. I don't know what to do."                                                                                                                                                                                         ,"Wow, that sounds bad. I think you should keep track of what she's doing right now."                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,      1
sub_9_conv_8  ,"Yes, I will have to drive there and try to find her in person because there is no other way for me to contact her. I don't know even if she's okay or not. I'm scared."                                                                                                                                                                                                                                                                                                                                                                                                                              ,yeah I think like you should try to contact teachers as well like and maybe you should talk with her friends to know what's going on with her right yeah right                                                                                                                                                                                                                                                                                                                                                                                         ,      1
sub_9_conv_8  ,I forgot I had that option I will check here social media and see if I can contact some of her friends maybe that's the i can finally know if she's okay at least                                                                                                                                                                                                                                                                                                                                                                                                                                     ,yeah but do you remember like what we have what we did when were kids like maybe they also try to do some crazy stuff so you have to take a good care of her otherwise like you know sometimes things gonna go bad right                                                                                                                                                                                                                                                                                                                               ,      1
sub_9_conv_8  ,yeah for now I just want to to know that she's alright and try to understand why she did this because she's a good daughter so probably something bad happened to her or bad friends I don't know I would try to help her overcome this together                                                                                                                                                                                                                                                                                                                                                      ,yeah you should I think like everything gonna be fine just talk to her then maybe you can find a solution for that                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      1
sub_11_conv_1 ,"The other day when I was walking around I went to buy some wood for something that I needed to do in my house but the surprising thing is that I just saw some guy walking around with a huge load of lumber on his shoulder and he was just carrying it like it was nothing and it was pretty heavy wood. I think it was like, what, 150 kilograms?"                                                                                                                                                                                                                                                ,"Wow, that's impressive. Did he look buff?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,      2
sub_11_conv_1 ,"Oh yeah, he was like really muscular, but I just found it impressive that people can actually carry around that kind of weight like in everyday life i thought that was like only things that bodybuilders did for like training and stuff"                                                                                                                                                                                                                                                                                                                                                          ,yeah 150 kilograms is impressive like for anyone maybe he's like uh he's been working there like for a long time?                                                                                                                                                                                                                                                                                                                                                                                                                                      ,      2
sub_11_conv_1 ,"Yeah, maybe. Like, I didn't know that working in that profession made you like so strong, but it's pretty amazing, you know?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"It's like, I'm also surprised, like, I had no idea somebody was capable of doing such things."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,      2
sub_11_conv_2 ,"So, I was reading the other day about news and I read a very very sad story about a kid, a baby who was born premature and she ended up actually passing away because you know once you are born premature you have to have access to medication and the parents because they were like religious they didn't believe in medication so they just never gave her medicine or anything and she ended up passing away and that was like really sad to to read"                                                                                                                                          ,uh also for me now that i hear about this story i cannot believe somebody just didn't care about the life of their own daughter or like a son i don't believe such people exist in this world                                                                                                                                                                                                                                                                                                                                                          ,      3
sub_11_conv_2 ,"Yeah, it's a really sad thing and it kinda takes away your faith for humanity, right? It's like, how can you be so callous as to just allow that because you believe in something that you haven't seen? I don't know, it's really sad that we have these things happen in real life, you know?"                                                                                                                                                                                                                                                                                                     ,"Yes, it's like how people can do these extreme things just based on what they believe or their beliefs. You could say that they sacrificed their unborn son or daughter just because of their beliefs. I think that we should put at a higher level human values and consider life as the most important thing."                                                                                                                                                                                                                                      ,      3
sub_11_conv_2 ,"Yeah, it's really sad that we haven't done anything in the law or anything to stop these kinds of things to happen, because that's someone that could have been saved, and that's the kind of thing that just makes you depressed or wild after you read about it."                                                                                                                                                                                                                                                                                                                                  ,"Yes, I understand the feeling. I feel the same actually. There should be something we can do as a society to protect people, especially those like, they cannot defend themselves, like kids, protect them from the rest of the world."                                                                                                                                                                                                                                                                                                               ,      3
sub_11_conv_3 ,"One thing that I anticipated a lot was the first time that I went to play Dungeons and Dragons. It was with a group of friends and they were all really into the game and I didn't know anything about it. So people were like, yeah, you'll be fine. But I didn't know what I was doing. And I felt kind of dumb. But at the end of the day, they also had fun. I tried my best. And it was really fun. And after that, I was looking forward to the next session."                                                                                                                                 ,"I'm happy to hear that story. It's always difficult to start something new because maybe you feel like you will make mistakes. And also you started to play with a new group of people, I understand. Is that correct?"                                                                                                                                                                                                                                                                                                                               ,      2
sub_11_conv_3 ,"So yeah, that's actually correct. I was playing with an entire different group of people who were already very into it. And it was interesting because they all already knew what they were doing and I didn't. But yeah, I think it went pretty well. And yeah, that's what got me into that hobby."                                                                                                                                                                                                                                                                                                ,So you continue playing with them in the same group? Continue playing Dungeons & Dragons?                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,      2
sub_11_conv_3 ,"Yeah, I've actually been playing for a while now. and with the same group I changed groups a few times but yeah like I always get excited when we're going to play another session"                                                                                                                                                                                                                                                                                                                                                                                                                  ,awesome it's a great hobby to have                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      2
sub_11_conv_4 ,Once I was having dinner and it was like a really good Italian place and I was having the time of my life eating stuff and suddenly I opened a ravioli and there was like a huge hair baked into it that's like super super gross and it kind of ruined the evening for me it was like                                                                                                                                                                                                                                                                                                                ,i don't even know what to say it's like it's horrible how how that could happen such a nice restaurant did you do you complain                                                                                                                                                                                                                                                                                                                                                                                                                         ,      3
sub_11_conv_4 ,yeah I did end up complaining actually the manager wasn't that helpful they were also telling me that I had was trying to scam the restaurant which made me more mad because I think that they were trying to cover for the for the cook who did that and it just kind of ruined the reputation of that restaurant for me                                                                                                                                                                                                                                                                             ,right I get it Maybe some people try to actually cheat and do what they thought you was doing. Do you think that's possible or is it just a tactic to protect themselves from these mistakes?                                                                                                                                                                                                                                                                                                                                                          ,      3
sub_11_conv_4 ,I think it's more like a tactic. I don't think it's like that common that people scam and I think that's really really bad behavior on the part of the of the restaurants because even if someone is trying to scam like the restaurant it's still like something that they should take into account and I don't think you can fake a hair inside of the food                                                                                                                                                                                                                                         ,"Right, so you had the evidence. So just a shame. They lost a customer."                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,      3
